time_iso8601,forks_cumulative
2022-04-05 00:00:00+00:00,1
2022-04-09 00:00:00+00:00,2
2022-07-11 00:00:00+00:00,3
2022-08-30 00:00:00+00:00,4
2022-09-03 00:00:00+00:00,5
2022-10-17 00:00:00+00:00,6
2022-12-12 00:00:00+00:00,7
2023-01-10 00:00:00+00:00,8
2023-01-11 00:00:00+00:00,9
2023-01-24 00:00:00+00:00,10
2023-03-04 00:00:00+00:00,11
2023-04-25 00:00:00+00:00,12
2023-05-07 00:00:00+00:00,13
2023-05-15 00:00:00+00:00,14
2023-05-25 00:00:00+00:00,15
2023-06-03 00:00:00+00:00,16
2023-06-04 00:00:00+00:00,17
2023-06-07 00:00:00+00:00,18
2023-06-23 00:00:00+00:00,19
2023-06-24 00:00:00+00:00,20
2023-08-01 00:00:00+00:00,21
2023-08-18 00:00:00+00:00,23
2023-08-24 00:00:00+00:00,24
2023-09-04 00:00:00+00:00,25
2023-09-20 00:00:00+00:00,26
2023-11-27 00:00:00+00:00,27
2024-02-13 00:00:00+00:00,28
2024-03-21 00:00:00+00:00,29
