time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-20 00:00:00+00:00,64,32,43,22
2024-02-21 00:00:00+00:00,61,36,50,18
2024-02-22 00:00:00+00:00,49,32,45,16
2024-02-23 00:00:00+00:00,48,31,69,17
2024-02-24 00:00:00+00:00,31,18,19,10
2024-02-25 00:00:00+00:00,52,23,23,14
2024-02-26 00:00:00+00:00,78,36,30,16
2024-02-27 00:00:00+00:00,115,72,116,41
2024-02-28 00:00:00+00:00,170,93,114,34
2024-02-29 00:00:00+00:00,131,56,65,34
2024-03-01 00:00:00+00:00,74,39,42,22
2024-03-02 00:00:00+00:00,54,29,26,9
2024-03-03 00:00:00+00:00,92,38,43,19
2024-03-04 00:00:00+00:00,95,40,33,18
