time_iso8601,stars_cumulative
2022-03-25 00:00:00+00:00,3
2022-03-26 00:00:00+00:00,4
2022-03-30 00:00:00+00:00,19
2022-04-03 00:00:00+00:00,20
2022-04-04 00:00:00+00:00,22
2022-04-05 00:00:00+00:00,24
2022-04-06 00:00:00+00:00,26
2022-04-07 00:00:00+00:00,27
2022-04-10 00:00:00+00:00,29
2022-04-11 00:00:00+00:00,30
2022-04-13 00:00:00+00:00,32
2022-04-15 00:00:00+00:00,34
2022-04-19 00:00:00+00:00,37
2022-04-20 00:00:00+00:00,38
2022-04-21 00:00:00+00:00,40
2022-04-22 00:00:00+00:00,41
2022-04-24 00:00:00+00:00,43
2022-04-27 00:00:00+00:00,44
2022-05-02 00:00:00+00:00,45
2022-05-17 00:00:00+00:00,47
2022-05-25 00:00:00+00:00,48
2022-06-03 00:00:00+00:00,49
2022-06-04 00:00:00+00:00,51
2022-06-06 00:00:00+00:00,53
2022-06-07 00:00:00+00:00,56
2022-06-08 00:00:00+00:00,64
2022-06-09 00:00:00+00:00,67
2022-06-10 00:00:00+00:00,68
2022-06-13 00:00:00+00:00,69
2022-06-14 00:00:00+00:00,70
2022-06-19 00:00:00+00:00,71
2022-06-22 00:00:00+00:00,73
2022-06-25 00:00:00+00:00,74
2022-07-08 00:00:00+00:00,76
2022-07-09 00:00:00+00:00,77
2022-07-11 00:00:00+00:00,80
2022-07-12 00:00:00+00:00,81
2022-07-13 00:00:00+00:00,84
2022-07-14 00:00:00+00:00,89
2022-07-16 00:00:00+00:00,90
2022-07-17 00:00:00+00:00,93
2022-07-18 00:00:00+00:00,97
2022-07-19 00:00:00+00:00,99
2022-07-21 00:00:00+00:00,102
2022-07-22 00:00:00+00:00,104
2022-07-26 00:00:00+00:00,105
2022-07-27 00:00:00+00:00,106
2022-07-31 00:00:00+00:00,107
2022-08-01 00:00:00+00:00,108
2022-08-19 00:00:00+00:00,109
2022-08-21 00:00:00+00:00,110
2022-08-22 00:00:00+00:00,111
2022-08-23 00:00:00+00:00,113
2022-08-27 00:00:00+00:00,114
2022-08-30 00:00:00+00:00,116
2022-08-31 00:00:00+00:00,117
2022-09-03 00:00:00+00:00,118
2022-09-08 00:00:00+00:00,119
2022-09-09 00:00:00+00:00,120
2022-09-14 00:00:00+00:00,121
2022-09-18 00:00:00+00:00,122
2022-10-13 00:00:00+00:00,123
2022-10-28 00:00:00+00:00,124
2022-11-03 00:00:00+00:00,125
2022-11-05 00:00:00+00:00,126
2022-11-11 00:00:00+00:00,127
2022-11-18 00:00:00+00:00,128
2022-11-22 00:00:00+00:00,129
2022-11-26 00:00:00+00:00,130
2022-11-29 00:00:00+00:00,131
2022-12-01 00:00:00+00:00,132
2022-12-07 00:00:00+00:00,133
2022-12-09 00:00:00+00:00,135
2022-12-11 00:00:00+00:00,136
2022-12-23 00:00:00+00:00,137
2022-12-24 00:00:00+00:00,139
2022-12-27 00:00:00+00:00,140
2023-01-05 00:00:00+00:00,141
2023-01-08 00:00:00+00:00,142
2023-01-11 00:00:00+00:00,143
2023-01-12 00:00:00+00:00,144
2023-01-14 00:00:00+00:00,145
2023-01-22 00:00:00+00:00,146
2023-01-25 00:00:00+00:00,148
2023-01-30 00:00:00+00:00,149
2023-02-04 00:00:00+00:00,150
2023-02-06 00:00:00+00:00,151
2023-02-14 00:00:00+00:00,152
2023-02-16 00:00:00+00:00,153
2023-02-17 00:00:00+00:00,154
2023-02-23 00:00:00+00:00,155
2023-02-24 00:00:00+00:00,156
2023-02-25 00:00:00+00:00,157
2023-02-28 00:00:00+00:00,158
2023-03-21 00:00:00+00:00,160
2023-03-22 00:00:00+00:00,163
2023-03-23 00:00:00+00:00,164
2023-03-28 00:00:00+00:00,165
2023-04-03 00:00:00+00:00,167
2023-04-12 00:00:00+00:00,169
2023-04-17 00:00:00+00:00,170
2023-04-18 00:00:00+00:00,175
2023-04-19 00:00:00+00:00,179
2023-04-20 00:00:00+00:00,180
2023-04-22 00:00:00+00:00,182
2023-04-23 00:00:00+00:00,183
2023-04-24 00:00:00+00:00,184
2023-04-27 00:00:00+00:00,185
2023-04-29 00:00:00+00:00,186
2023-05-01 00:00:00+00:00,187
2023-05-02 00:00:00+00:00,191
2023-05-03 00:00:00+00:00,192
2023-05-04 00:00:00+00:00,194
2023-05-05 00:00:00+00:00,195
2023-05-08 00:00:00+00:00,196
2023-05-09 00:00:00+00:00,197
2023-05-12 00:00:00+00:00,198
2023-05-15 00:00:00+00:00,199
2023-05-16 00:00:00+00:00,201
2023-05-27 00:00:00+00:00,203
2023-05-29 00:00:00+00:00,204
2023-05-31 00:00:00+00:00,206
2023-06-01 00:00:00+00:00,208
2023-06-02 00:00:00+00:00,209
2023-06-05 00:00:00+00:00,210
2023-06-06 00:00:00+00:00,212
2023-06-07 00:00:00+00:00,213
2023-06-08 00:00:00+00:00,215
2023-06-09 00:00:00+00:00,218
2023-06-11 00:00:00+00:00,219
2023-06-13 00:00:00+00:00,220
2023-06-14 00:00:00+00:00,221
2023-06-18 00:00:00+00:00,222
2023-06-20 00:00:00+00:00,223
2023-06-22 00:00:00+00:00,224
2023-06-23 00:00:00+00:00,225
2023-06-25 00:00:00+00:00,226
2023-06-26 00:00:00+00:00,228
2023-06-27 00:00:00+00:00,229
2023-06-29 00:00:00+00:00,230
2023-06-30 00:00:00+00:00,231
2023-07-04 00:00:00+00:00,233
2023-07-05 00:00:00+00:00,237
2023-07-06 00:00:00+00:00,243
2023-07-07 00:00:00+00:00,246
2023-07-08 00:00:00+00:00,247
2023-07-09 00:00:00+00:00,248
2023-07-19 00:00:00+00:00,249
2023-07-21 00:00:00+00:00,252
2023-07-23 00:00:00+00:00,253
2023-07-26 00:00:00+00:00,254
2023-07-29 00:00:00+00:00,255
2023-07-31 00:00:00+00:00,256
2023-08-01 00:00:00+00:00,257
2023-08-09 00:00:00+00:00,258
2023-08-10 00:00:00+00:00,259
2023-08-11 00:00:00+00:00,260
2023-08-12 00:00:00+00:00,261
2023-08-13 00:00:00+00:00,262
2023-08-16 00:00:00+00:00,264
2023-08-22 00:00:00+00:00,266
2023-08-23 00:00:00+00:00,267
2023-08-24 00:00:00+00:00,268
2023-08-26 00:00:00+00:00,269
2023-08-27 00:00:00+00:00,270
2023-08-28 00:00:00+00:00,273
2023-08-29 00:00:00+00:00,274
2023-08-30 00:00:00+00:00,275
2023-09-10 00:00:00+00:00,278
2023-09-11 00:00:00+00:00,279
2023-09-14 00:00:00+00:00,282
2023-09-16 00:00:00+00:00,283
2023-09-17 00:00:00+00:00,284
2023-09-19 00:00:00+00:00,286
2023-09-20 00:00:00+00:00,287
2023-09-22 00:00:00+00:00,289
2023-09-23 00:00:00+00:00,290
2023-09-24 00:00:00+00:00,291
2023-09-26 00:00:00+00:00,292
2023-09-27 00:00:00+00:00,293
2023-09-28 00:00:00+00:00,296
2023-09-29 00:00:00+00:00,297
2023-10-04 00:00:00+00:00,298
2023-10-06 00:00:00+00:00,299
2023-10-09 00:00:00+00:00,300
2023-10-12 00:00:00+00:00,301
2023-10-13 00:00:00+00:00,302
2023-10-18 00:00:00+00:00,303
2023-10-20 00:00:00+00:00,304
2023-10-24 00:00:00+00:00,305
2023-10-31 00:00:00+00:00,307
2023-11-03 00:00:00+00:00,308
2023-11-06 00:00:00+00:00,310
2023-11-08 00:00:00+00:00,312
2023-11-09 00:00:00+00:00,313
2023-11-18 00:00:00+00:00,314
2023-11-25 00:00:00+00:00,315
2023-11-26 00:00:00+00:00,316
2023-11-30 00:00:00+00:00,317
2023-12-03 00:00:00+00:00,318
2023-12-04 00:00:00+00:00,319
2023-12-06 00:00:00+00:00,320
2023-12-12 00:00:00+00:00,321
2023-12-16 00:00:00+00:00,322
2023-12-17 00:00:00+00:00,323
2023-12-21 00:00:00+00:00,324
2023-12-26 00:00:00+00:00,325
2024-01-03 00:00:00+00:00,326
2024-01-09 00:00:00+00:00,327
2024-01-12 00:00:00+00:00,329
2024-01-19 00:00:00+00:00,330
2024-01-24 00:00:00+00:00,331
2024-02-01 00:00:00+00:00,332
2024-02-06 00:00:00+00:00,333
2024-02-15 00:00:00+00:00,334
2024-02-16 00:00:00+00:00,335
2024-02-17 00:00:00+00:00,336
2024-02-20 00:00:00+00:00,337
2024-02-22 00:00:00+00:00,338
2024-02-23 00:00:00+00:00,340
2024-02-26 00:00:00+00:00,341
2024-02-27 00:00:00+00:00,343
2024-02-28 00:00:00+00:00,344
2024-02-29 00:00:00+00:00,346
2024-03-01 00:00:00+00:00,348
2024-03-10 00:00:00+00:00,350
2024-03-14 00:00:00+00:00,351
2024-03-18 00:00:00+00:00,352
2024-03-21 00:00:00+00:00,353
2024-03-26 00:00:00+00:00,354
2024-03-29 00:00:00+00:00,355
2024-04-06 00:00:00+00:00,356
2024-04-14 00:00:00+00:00,357
2024-04-16 00:00:00+00:00,358
2024-04-20 00:00:00+00:00,359
2024-04-26 00:00:00+00:00,360
